13|0|1,1,2-trichloroethane|C2H3Cl3|0|1|133.404|79-00-5|6326|6574|InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2|UBOXGVDOUJQMTN-UHFFFAOYSA-N|alkylchloride;rotatable_bond;alkane;halogenated_compound|1,1,2-TCA|112-trichloroethane.sdf|C1|1|1|||maaren|2018-03-31 15:17:02
14|0|1,1,3,3-tetraethylurea|C9H20N2O|0|1|172.267|1187-03-7|13811|14465|InChI=1S/C9H20N2O/c1-5-10(6-2)9(12)11(7-3)8-4/h5-8H2,1-4H3|UWHSPZZUAYSGTB-UHFFFAOYSA-N|C_ONS_bond;urea;rotatable_bond;carbonic_acid_derivatives;primary_carbon|tetraethyl-carbamide;TEU;tetraethylurea|1133-tetraethylurea.sdf|C1|1|4|||maaren|2018-03-31 15:17:06
15|0|1,1-dichloro-2,2-difluoroethene|C2Cl2F2|0|1|132.924|79-35-6|21106435|6592|InChI=1S/C2Cl2F2/c3-1(4)2(5)6|QDGONURINHVBEW-UHFFFAOYSA-N|halogenated_compound;fluoroalkene;nonhydrogens;alkene;chloroalkene|dichlorodifluoroethylene;Genetron 1112a;DCDFE|11-dichloro-22-difluoroethene.sdf|C2v|2|0|||maaren|2018-03-31 15:17:10
16|0|1,1-dichloro-2-fluoroprop-1-ene|C3H3Cl2F|0|1|128.96|430-95-5|454567|521133|InChI=1S/C3H3Cl2F/c1-2(6)3(4)5/h1H3|BJSMMNZAHNXJCF-UHFFFAOYSA-N|halogenated_compound;alkene;primary_carbon;fluoroalkene;chloroalkene|1,1-dichloro-2-fluoro-1-propene;1,1-dichloro-2-fluoropropene|11-dichloro-2-fluoropropene.sdf|Cs|1|0|||maaren|2018-03-31 15:17:14
17|0|1,1-dichloroethane|C2H4Cl2|0|1|98.959|75-34-3|6125|6365|InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3|SCYULBFZEHDVBN-UHFFFAOYSA-N|primary_carbon;halogenated_compound;alkane;alkylchloride|1,1-DCE;UN2362;ethylidene chloride;dichloroethane|11-dichloroethane.sdf|Cs|1|0|||maaren|2018-03-31 15:17:17
18|0|1,1-dichloroethene|C2H2Cl2|0|1|96.9432|75-35-4|13835316|6366|InChI=1S/C2H2Cl2/c1-2(3)4/h1H2|LGXVIGDEPROXKC-UHFFFAOYSA-N|halogenated_compound;alkene;chloroalkene|1,1-dichloroethylene;1,1-dichlorethylene;vinylidene chloride;vinylidine chloride;dichloroethylene|11-dichloroethene.sdf|C2v|2|0|||maaren|2018-03-31 15:17:21
19|0|1,2-diethoxyethane|C6H14O2|0|1|118.174|629-14-1|13835376|12375|InChI=1S/C6H14O2/c1-3-7-5-6-8-4-2/h3-6H2,1-2H3|LZDKZFUFMNSQCJ-UHFFFAOYSA-N|C_ONS_bond;ether;dialkylether;primary_carbon;rotatable_bond|ethylene glycol diethyl ether|12-diethoxyethane.sdf|C1|1|5|||maaren|2018-03-31 15:17:25
20|0|1,1-difluorocyclohexane|C6H10F2|0|1|120.14|371-90-4|144283|164586|InChI=1S/C6H10F2/c7-6(8)4-2-1-3-5-6/h1-5H2|ZORQXIQZAOLNGE-UHFFFAOYSA-N|halogenated_compound;cycloalkane;secondary_carbon;alkylfluoride||11-difluorocyclohexane.sdf|C1|1|0|||maaren|2018-03-31 15:17:29
21|0|1,1-difluoroethane|C2H4F2|0|1|66.0498|75-37-6|6128|6368|InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3|NPNPZTNLOVBDOC-UHFFFAOYSA-N|alkylfluoride;primary_carbon;alkane;halogenated_compound|1,1-difluoroethane|11-difluoroethane.sdf|Cs|1|0|||maaren|2018-03-31 15:17:33
22|0|1,1-difluoroethene|C2H2F2|0|1|64.034|75-38-7|13836545|6369|InChI=1S/C2H2F2/c1-2(3)4/h1H2|BQCIDUSAKPWEOX-UHFFFAOYSA-N|halogenated_compound;alkene;fluoroalkene|1,1-difluoroethylene;trans-1,2-difluorethene|11-difluoroethene.sdf|C2v|2|0|||maaren|2018-03-31 15:17:37
23|0|1,1-difluoroprop-1-ene|C3H4F2|0|1|78.0605|430-63-7|454565|521131|InChI=1S/C3H4F2/c1-2-3(4)5/h2H,1H3|YHLIEGBCOUQKHU-UHFFFAOYSA-N|halogenated_compound;primary_carbon;fluoroalkene;alkene|1,1-difluoropropene|11-difluoropropene.sdf|C1|1|0|||maaren|2018-03-31 15:17:41
24|0|(E)-difluorodiazene|F2N2|0|1|66.0102|13776-62-0|4516471|5462838|InChI=1S/F2N2/c1-3-4-2/b4-3+|DUQAODNTUBJRGF-ONEGZZNKSA-N|halogen_on_hetero;trans_double_bond;cis_double_bond;inorganic;nonhydrogens|trans-difluorodiazine;trans difluorodiazene;(E)-nitrogen fluoride|E-difluorodiazene.sdf|C2h|2|0|||maaren|2018-03-31 15:17:45
25|0|(Z)-difluorodiazene|F2N2|0|1|66.0102|13812-43-6|10326121|5364290|InChI=1S/F2N2/c1-3-4-2/b4-3-|DUQAODNTUBJRGF-ARJAWSKDSA-N|trans_double_bond;cis_double_bond;inorganic;halogen_on_hetero;nonhydrogens|cis-difluorodiazine;cis difluorodiazene;(Z)-nitrogen fluoride|Z-difluorodiazene.sdf|C2v|2|0|||maaren|2018-03-31 15:17:49
26|0|oxygen monofluoride|FO|0|2|34.9978|12061-70-0|4937269||InChI=1S/FO/c1-2|FXOFAYKVTOLJTJ-UHFFFAOYSA-N|nonhydrogens;g305;radical;halogen_on_hetero;inorganic|fluoridooxygen|oxygen-monofluoride.sdf|C*v|1|0|||maaren|2018-03-31 15:17:53
27|0|fluoromethylidyne|CF|0|2|31.0091|3889-75-6|||InChI=1S/CF/c1-2|ISOSXCFSIDVNNC-UHFFFAOYSA-N|radical;inorganic;alkylfluoride;nonhydrogens|fluoromethanetriyl|fluoromethylidyne.sdf|C*v|1|0|||maaren|2018-03-31 15:17:56
